t,x1,y1,vx1,vy1,v1,x2,y2,vx2,vy2,v2
0.017,0.100,-0.225,0.175,0.231,0.290,0.445,-0.227,-0.153,0.180,0.236
0.033,0.103,-0.222,0.174,0.231,0.289,0.443,-0.224,-0.156,0.190,0.246
0.050,0.106,-0.218,0.173,0.230,0.288,0.440,-0.221,-0.174,0.193,0.260
0.067,0.109,-0.214,0.183,0.231,0.294,0.437,-0.218,-0.161,0.177,0.239
0.083,0.112,-0.210,0.180,0.236,0.297,0.434,-0.215,-0.158,0.175,0.236
0.100,0.115,-0.206,0.156,0.214,0.264,0.432,-0.212,-0.174,0.193,0.260
0.117,0.118,-0.203,0.171,0.235,0.290,0.429,-0.209,-0.174,0.194,0.260
0.133,0.121,-0.199,0.170,0.234,0.289,0.426,-0.206,-0.155,0.180,0.238
0.150,0.123,-0.195,0.168,0.234,0.288,0.423,-0.203,-0.160,0.192,0.250
0.167,0.126,-0.191,0.181,0.236,0.298,0.420,-0.199,-0.178,0.192,0.262
0.183,0.129,-0.187,0.163,0.216,0.271,0.418,-0.196,-0.176,0.195,0.263
0.200,0.132,-0.184,0.164,0.239,0.289,0.415,-0.193,-0.175,0.192,0.260
0.217,0.135,-0.179,0.178,0.239,0.298,0.412,-0.190,-0.163,0.178,0.241
0.233,0.138,-0.176,0.158,0.221,0.271,0.409,-0.187,-0.162,0.193,0.252
0.250,0.140,-0.172,0.161,0.243,0.291,0.406,-0.183,-0.172,0.194,0.260
0.267,0.143,-0.168,0.179,0.242,0.301,0.403,-0.180,-0.179,0.195,0.264
0.283,0.146,-0.164,0.159,0.223,0.274,0.400,-0.177,-0.169,0.189,0.254
0.300,0.148,-0.160,0.160,0.224,0.276,0.398,-0.174,-0.162,0.177,0.240
0.317,0.151,-0.156,0.171,0.245,0.299,0.395,-0.171,-0.176,0.194,0.261
0.333,0.154,-0.152,0.167,0.246,0.298,0.392,-0.168,-0.178,0.190,0.260
0.350,0.157,-0.148,0.157,0.227,0.276,0.389,-0.165,-0.177,0.193,0.262
0.367,0.159,-0.144,0.163,0.242,0.292,0.386,-0.161,-0.180,0.201,0.270
0.383,0.162,-0.140,0.175,0.243,0.299,0.383,-0.158,-0.177,0.202,0.269
0.400,0.165,-0.136,0.158,0.228,0.278,0.380,-0.155,-0.179,0.207,0.274
0.417,0.167,-0.132,0.159,0.227,0.277,0.377,-0.151,-0.184,0.195,0.268
0.433,0.170,-0.129,0.171,0.246,0.300,0.374,-0.148,-0.182,0.199,0.270
0.450,0.173,-0.124,0.167,0.250,0.300,0.371,-0.144,-0.178,0.198,0.267
0.467,0.176,-0.120,0.155,0.229,0.276,0.368,-0.141,-0.180,0.198,0.268
0.483,0.178,-0.117,0.155,0.228,0.276,0.365,-0.138,-0.179,0.208,0.275
0.500,0.181,-0.113,0.169,0.248,0.300,0.362,-0.134,-0.178,0.199,0.267
0.517,0.184,-0.108,0.170,0.250,0.302,0.359,-0.131,-0.184,0.202,0.273
0.533,0.187,-0.104,0.153,0.232,0.278,0.356,-0.128,-0.180,0.197,0.267
0.550,0.189,-0.101,0.153,0.230,0.276,0.353,-0.125,-0.177,0.195,0.263
0.567,0.192,-9.677E-2,0.159,0.236,0.284,0.350,-0.121,-0.174,0.207,0.271
0.583,0.194,-9.277E-2,0.128,0.234,0.267,0.347,-0.118,-0.142,0.206,0.251
0.600,0.196,-8.898E-2,9.268E-2,0.240,0.257,0.345,-0.114,-8.844E-2,0.198,0.217
0.617,0.197,-8.478E-2,5.162E-2,0.248,0.253,0.344,-0.111,-2.701E-2,0.187,0.189
0.633,0.198,-8.072E-2,-4.446E-3,0.259,0.259,0.344,-0.108,5.146E-2,0.173,0.180
0.650,0.197,-7.613E-2,-4.706E-2,0.280,0.284,0.346,-0.105,0.122,0.159,0.201
0.667,0.196,-7.137E-2,-8.340E-2,0.277,0.289,0.348,-0.103,0.163,0.155,0.225
0.683,0.195,-6.692E-2,-0.101,0.279,0.297,0.351,-0.100,0.199,0.148,0.248
0.700,0.193,-6.207E-2,-0.104,0.287,0.306,0.355,-9.788E-2,0.194,0.139,0.239
0.717,0.191,-5.735E-2,-0.107,0.280,0.300,0.358,-9.562E-2,0.189,0.135,0.233
0.733,0.189,-5.272E-2,-0.101,0.284,0.301,0.361,-9.337E-2,0.209,0.140,0.251
0.750,0.188,-4.789E-2,-0.101,0.281,0.299,0.365,-9.096E-2,0.209,0.143,0.254
0.767,0.186,-4.335E-2,-0.101,0.277,0.295,0.368,-8.859E-2,0.199,0.149,0.249
0.783,0.184,-3.865E-2,-9.983E-2,0.280,0.297,0.372,-8.600E-2,0.178,0.135,0.223
0.800,0.183,-3.402E-2,-0.105,0.280,0.299,0.374,-8.411E-2,0.181,0.129,0.222
0.817,0.181,-2.931E-2,-9.953E-2,0.282,0.299,0.378,-8.169E-2,0.196,0.147,0.245
0.833,0.179,-2.463E-2,-0.102,0.277,0.295,0.381,-7.920E-2,0.197,0.148,0.246
0.850,0.177,-2.008E-2,-9.981E-2,0.282,0.299,0.384,-7.677E-2,0.197,0.149,0.247
0.867,0.176,-1.524E-2,-9.962E-2,0.280,0.297,0.387,-7.423E-2,0.194,0.152,0.247
0.883,0.174,-1.075E-2,-0.102,0.274,0.293,0.391,-7.170E-2,0.177,0.135,0.223
0.900,0.173,-6.089E-3,-0.100,0.278,0.295,0.393,-6.974E-2,0.176,0.137,0.223
0.917,0.171,-1.486E-3,-9.951E-2,0.277,0.294,0.396,-6.715E-2,0.191,0.140,0.237
0.933,0.169,3.145E-3,-0.101,0.276,0.294,0.400,-6.508E-2,0.190,0.135,0.233
0.950,0.167,7.730E-3,-0.100,0.276,0.294,0.403,-6.265E-2,0.186,0.154,0.241
0.967,0.166,1.235E-2,-0.102,0.276,0.294,0.406,-5.996E-2,0.185,0.159,0.244
0.983,0.164,1.692E-2,-0.108,0.279,0.299,0.409,-5.737E-2,0.189,0.142,0.236
1.000,0.162,2.164E-2,-9.966E-2,0.283,0.300,0.412,-5.523E-2,0.188,0.143,0.236
1.017,0.161,2.637E-2,-9.863E-2,0.279,0.296,0.415,-5.259E-2,0.182,0.159,0.242
1.033,0.159,3.093E-2,-9.956E-2,0.276,0.293,0.418,-4.991E-2,0.182,0.148,0.235
1.050,0.157,3.556E-2,-0.102,0.276,0.294,0.421,-4.766E-2,0.182,0.148,0.234
1.067,0.156,4.013E-2,-0.100,0.277,0.294,0.424,-4.499E-2,0.177,0.149,0.232
1.083,0.154,4.479E-2,-0.100,0.277,0.294,0.427,-4.268E-2,0.179,0.150,0.234
1.100,0.152,4.936E-2,-0.101,0.275,0.293,0.430,-3.998E-2,0.177,0.150,0.232
1.117,0.151,5.394E-2,-9.943E-2,0.276,0.293,0.433,-3.767E-2,0.173,0.152,0.230
1.133,0.149,5.855E-2,-0.101,0.276,0.294,0.436,-3.490E-2,0.174,0.152,0.231
1.150,0.147,6.315E-2,-0.101,0.277,0.295,0.439,-3.262E-2,0.174,0.151,0.231
1.167,0.146,6.780E-2,-0.100,0.276,0.293,0.442,-2.985E-2,0.172,0.153,0.230
1.183,0.144,7.234E-2,-0.101,0.276,0.294,0.445,-2.751E-2,0.173,0.152,0.231
1.200,0.142,7.699E-2,-0.100,0.278,0.296,0.448,-2.476E-2,0.175,0.152,0.232
1.217,0.141,8.161E-2,-0.101,0.273,0.291,0.450,-2.245E-2,0.168,0.142,0.220
1.233,0.139,8.609E-2,-0.102,0.275,0.293,0.453,-2.004E-2,0.167,0.157,0.229
1.250,0.137,9.077E-2,-0.101,0.278,0.296,0.456,-1.720E-2,0.169,0.155,0.230
1.267,0.135,9.536E-2,-9.993E-2,0.277,0.294,0.459,-1.487E-2,0.166,0.143,0.219
1.283,0.134,9.999E-2,-0.103,0.277,0.296,0.462,-1.243E-2,0.165,0.158,0.229
1.300,0.132,0.105,-0.102,0.278,0.296,0.464,-9.599E-3,0.169,0.155,0.230
1.317,0.131,0.109,-9.952E-2,0.276,0.293,0.467,-7.249E-3,0.165,0.144,0.219
1.333,0.129,0.114,-0.102,0.276,0.294,0.470,-4.797E-3,0.162,0.161,0.229
1.350,0.127,0.118,-0.102,0.278,0.296,0.473,-1.879E-3,0.168,0.157,0.230
1.367,0.125,0.123,-0.101,0.275,0.293,0.475,4.434E-4,0.181,0.158,0.240
1.383,0.124,0.128,-9.987E-2,0.275,0.293,0.479,3.398E-3,0.178,0.164,0.242